"","num","title","content"
"70",90,"니네 일반적인 infp말고","ㄹㅇ 내가 infp긴 한데istp 자석이거든?? 약간 건강한 인프피임좀 일상생활할때는 현실적이고 안예민한?? 감성적이고 시쓰고 이런 뼈프피지만친한 친구들은 다 잇팁들이었음개그코드도 잘맞 ㅇㅇ잇팁이 좋아하면 estp너네도 이런 인프피는좋아할수도 있으려나?"
"71",91,"인싸인 사람한테 흥미 있음?","존나 만날때마다 낯가려서 뭐만하면 말도 잘 못하고부끄러워 하는거 너무 티나는데sns보니까 반전으로 친구들이랑 맨날 돌아다니고쾌활해서 인싸로 보이는 사람들 estp한테 흥미 있음?"
"72",93,"나무위키타고들어왔는데 댓글보면 다 내가쓴거같음","신기해 ㅋ"
"73",94,"에니어그램도 믿을만 한가?","아닌가? "
"74",95,"야 여자estp는 뭐하고사냐","술 전자담배 게임 스릴 헬스 이거 5개로 인생돌아가는데 니네는 원동력이 뭐임? "
"75",97,"엣팁은 헬창 남자들이 많은듯","인프제들은 연약한 여자들이 많고 "
"76",99,"당분간 MBTI갤에서 활동하지 마라 거기 갤매 븅신이다","ㅈㄱㄴ"
"77",100,"estp인데 선톡 무슨일 있지 않으면 안함 + 그 외 특징 적어봄","특기 : 잠수타기 길면 한달 게임에 빠져서 잠수타느라 친구가 살아있냐고 전화옴그리고 그다음날 해외여행갔음 그냥 가고싶어서벼락치기 나보다 잘하는 사람 못봄.고등학교때 하루전에 공부해서 국숭세단 대학갔고 거기서도 전공 하루전 벼락치기 해서 학점 4.5 과탑도 찍음.시험기간에 안자고 2일 넘게 깨어있던적 있음 시험이 이틀 연속있을때그리고 흥미 잃으면 까먹어서 이 글쓰고 댓글 볼 가능성이 적을거같음그냥 삘받아서 estp나무위키 타고 온거라자기애 존나 강함 + 자존감 자신감 나를 너무 좋아해서 내가 봐도 나르시스트같음단점마저 좋게 생각함"
"78",101,"ESTP궁합","ISFJ ISTJ 만나봄? 어떰?"
"79",102,"너네도 이러냐?","이성이든 친구든 맘에 들거나 좋아하면 간보는거 없이 맘가는대로 하다가 조금이라도 맘에 안들거나 안맞으면바로 연락안함 성격도 답답한거 존나싫고 돌려말하는거 싫어함"
"80",104,"16 마이너 갤러리 리스트","         ENFJENFPENTJENTPESFJESFPESTJESTPINFJINFPINTJINTPISFJISFPISTJISTP"
"81",106,"ESTP 여친 밈","남자는 왜 없노? "
"82",107,"알콜중독에 섭식장애?있는 estp 있나","성향이e인데 혼술 개좋아하고 회식땐막상 마니안마심집에서혼자 유툽보면서 맥주 들이키고 남친, 단톡방에서 수다떨고 알딸딸하게 잠거의맨날퇴근하고 마시는듯가족들은 맨날마신다고 걱정하는데나도 물론 알콜중독은 안좋다는걸알지만 진짜 문제생기면 언제든지 끊을수 있을거같고 (문제가 안생길거같고)크게 안마셔야되는 동기도 없음. 사고도 안치고 지각도 안하고.또 안좋다는걸 알면서도 폭식하고 단식하고 운동하고를 반복함이것도 딱히 당장 일상에 지장없으니 반복하게됨이게 내 성격성향때문인지 그냥 내 식습관이 문제인건지 모르겟네"
